,Batsman,Mode of Dismissal,Runs Scored,Balls Faced,Fours,Sixes,Strike Rate,Innings,Location,Date,Batting Position,Format,Year,Match,Series
2519,Gulbadin Naib,run out (P Seelaar/W Barresi),1,5,0,0,20.00,1,"Sharjah Cricket Stadium, Sharjah","Mar 29, 10:00 AM LOCAL",8,ODI,2011-2013,"Afghanistan vs Netherlands, 21st ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2520,Zakiullah Zaki,not out,3,22,0,0,13.64,1,"Sharjah Cricket Stadium, Sharjah","Mar 29, 10:00 AM LOCAL",9,ODI,2011-2013,"Afghanistan vs Netherlands, 21st ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2521,Dawlat Zadran,c P Borren b T Cooper,4,13,0,0,30.77,1,"Sharjah Cricket Stadium, Sharjah","Mar 29, 10:00 AM LOCAL",10,ODI,2011-2013,"Afghanistan vs Netherlands, 21st ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2522,Izatullah Dawlatzai,st W Barresi b T Cooper,1,5,0,0,20.00,1,"Sharjah Cricket Stadium, Sharjah","Mar 29, 10:00 AM LOCAL",11,ODI,2011-2013,"Afghanistan vs Netherlands, 21st ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2523,Stephan Myburgh,lbw b I Dawlatzai,23,28,4,0,82.14,2,"Sharjah Cricket Stadium, Sharjah","Mar 29, 10:00 AM LOCAL",1,ODI,2011-2013,"Afghanistan vs Netherlands, 21st ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2524,Michael Swart,not out,42,67,4,1,62.69,2,"Sharjah Cricket Stadium, Sharjah","Mar 29, 10:00 AM LOCAL",2,ODI,2011-2013,"Afghanistan vs Netherlands, 21st ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2525,Alexei Kervezee,not out,83,63,13,2,131.75,2,"Sharjah Cricket Stadium, Sharjah","Mar 29, 10:00 AM LOCAL",3,ODI,2011-2013,"Afghanistan vs Netherlands, 21st ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2526,Stephan Myburgh,b I Dawlatzai,5,11,1,0,45.45,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",1,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2527,Michael Swart,c K Sadiq b M Nabi,52,57,5,3,91.23,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",2,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2528,Alexei Kervezee,c A Stanikzai b S Shenwari,47,52,3,2,90.38,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",3,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2529,Tom Cooper,c M Nabi b J Ahmadi,52,66,0,2,78.79,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",4,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2530,Wesley Barresi,c N Mangal b I Dawlatzai,51,68,2,2,75.00,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",5,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2531,Peter Borren,not out,24,24,2,0,100.00,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",6,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2532,Mudassar Bukhari,c K Sadiq b I Dawlatzai,8,6,0,1,133.33,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",7,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2533,Tom de Grooth,lbw b I Dawlatzai,5,8,1,0,62.50,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",8,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2534,Pieter Seelaar,c Gulbodin Naib b M Nabi,3,4,0,0,75.00,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",9,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2535,Timm van der Gugten,run out (N Mangal),2,4,0,0,50.00,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",10,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2536,Ahsan Malik,not out,0,0,0,0,0.00,1,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",11,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2537,Karim Sadiq,b P Borren,100,74,12,4,135.14,2,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",1,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2538,Javed Ahmadi,st W Barresi b P Seelaar,43,57,5,0,75.44,2,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",2,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2539,Mohammad Shahzad,c P Seelaar b T van der Gugten,37,56,4,1,66.07,2,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",3,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2540,Nawroz Mangal,not out,45,59,1,2,76.27,2,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",4,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2541,Shabir Noori,c W Barresi b T van der Gugten,13,19,2,0,68.42,2,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",5,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2542,Mohammad Nabi,lbw b P Borren,3,3,0,0,100.00,2,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",6,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2543,Asghar Afghan,not out,7,9,1,0,77.78,2,"Sharjah Cricket Stadium, Sharjah","Mar 31, 10:00 AM LOCAL",7,ODI,2011-2013,"Afghanistan vs Netherlands, 22nd ODI - Live Cricket Score, Commentary",ICC Intercontinental Cup One-Day 2011-2013
2544,Parthiv Patel,c M Samuels b D Sammy,26,20,2,1,130.00,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",1,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2545,Shikhar Dhawan,c A Fletcher b D Sammy,5,11,0,0,45.45,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",2,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2546,Virat Kohli,c D Hyatt b D Sammy,14,12,2,0,116.67,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",3,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2547,S Badrinath,c A Fletcher b C Barnwell,43,37,5,0,116.22,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",4,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2548,Suresh Raina,c C Barnwell b D Sammy,2,6,0,0,33.33,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",5,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2549,Rohit Sharma,b C Barnwell,26,23,0,2,113.04,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",6,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2550,Yusuf Pathan,not out,15,6,0,2,250.00,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",7,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2551,Harbhajan Singh,not out,15,7,1,1,214.29,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",8,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2552,Andre Fletcher,b M Patel,11,16,0,1,68.75,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",1,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2553,Lendl Simmons,c V Kohli b R Ashwin,9,9,1,0,100.00,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",2,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2554,Darren Bravo,b H Singh,41,41,5,0,100.00,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",3,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2555,Marlon Samuels,c P Patel b H Singh,27,29,3,0,93.10,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",4,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2556,Danza Hyatt,not out,14,7,1,1,200.00,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",5,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2557,Daren Sammy,c V Kohli b P Kumar,0,2,0,0,0.00,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",6,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2558,Christopher Barnwell,not out,34,16,2,3,212.50,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 04, 10:00 AM LOCAL",7,T20,2011,"West Indies vs India, Only T20I - Live Cricket Score, Commentary","India in West Indies, 2011"
2559,Lendl Simmons,c H Singh b P Kumar,6,23,1,0,26.09,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",1,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2560,Kirk Edwards,c V Kohli b H Singh,21,45,1,0,46.67,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",2,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2561,Darren Bravo,c R Sharma b M Patel,4,8,1,0,50.00,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",3,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2562,Ramnaresh Sarwan,c P Patel b M Patel,56,94,5,0,59.57,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",4,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2563,Marlon Samuels,b S Raina,55,75,3,2,73.33,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",5,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2564,Dwayne Bravo,st P Patel b H Singh,22,20,0,1,110.00,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",6,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2565,Carlton Baugh,lbw b H Singh,16,17,1,0,94.12,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",7,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2566,Daren Sammy,lbw b P Kumar,4,5,0,0,80.00,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",8,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2567,Ravi Rampaul,not out,9,8,1,0,112.50,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",9,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2568,Devendra Bishoo,lbw b S Raina,0,4,0,0,0.00,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",10,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2569,Anthony Martin,not out,2,3,0,0,66.67,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",11,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2570,Parthiv Patel,run out (DJ Bravo/C Baugh),13,15,2,0,86.67,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",1,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2571,Shikhar Dhawan,c L Simmons b A Martin,51,76,3,1,67.11,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",2,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2572,Virat Kohli,c C Baugh b R Rampaul,2,8,0,0,25.00,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",3,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2573,S Badrinath,c C Baugh b D Bishoo,17,30,1,0,56.67,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",4,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2574,Rohit Sharma,not out,68,75,3,1,90.67,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",5,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2575,Suresh Raina,c L Simmons b A Martin,43,50,4,0,86.00,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",6,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2576,Yusuf Pathan,c & b R Rampaul,10,12,0,1,83.33,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",7,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2577,Harbhajan Singh,not out,6,4,0,1,150.00,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 06, 09:00 AM LOCAL",8,ODI,2011,"West Indies vs India, 1st ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2578,Lendl Simmons,st P Patel b Y Pathan,53,84,3,2,63.10,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",1,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2579,Kirk Edwards,c P Patel b A Mishra,25,28,3,1,89.29,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",2,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2580,Ramnaresh Sarwan,c Y Pathan b M Patel,56,90,3,0,62.22,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",3,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2581,Marlon Samuels,st P Patel b Y Pathan,36,32,3,1,112.50,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",4,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2582,Dwayne Bravo,c H Singh b A Mishra,8,17,0,0,47.06,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",5,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2583,Kieron Pollard,lbw b A Mishra,0,3,0,0,0.00,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",6,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2584,Carlton Baugh,b A Mishra,2,9,0,0,22.22,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",7,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2585,Daren Sammy,not out,22,19,1,2,115.79,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",8,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2586,Ravi Rampaul,c S Raina b M Patel,14,16,3,0,87.50,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",9,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2587,Devendra Bishoo,c P Patel b M Patel,0,2,0,0,0.00,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",10,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2588,Anthony Martin,not out,0,1,0,0,0.00,1,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",11,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2589,Parthiv Patel,c C Baugh b A Martin,56,64,2,2,87.50,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",1,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2590,Shikhar Dhawan,c K Pollard b R Rampaul,3,4,0,0,75.00,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",2,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2591,Virat Kohli,c K Pollard b D Bishoo,81,103,6,1,78.64,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",3,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2592,Suresh Raina,not out,26,19,1,1,136.84,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",4,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2593,Rohit Sharma,not out,7,14,1,0,50.00,2,"Queen's Park Oval, Port of Spain, Trinidad","Jun 08, 09:00 AM LOCAL",5,ODI,2011,"West Indies vs India, 2nd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2594,Lendl Simmons,c V Kohli b A Mishra,45,68,4,1,66.18,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",1,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2595,Kirk Edwards,c P Patel b M Patel,0,2,0,0,0.00,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",2,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2596,Ramnaresh Sarwan,run out (S Raina/P Patel),28,38,2,1,73.68,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",3,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2597,Marlon Samuels,st P Patel b A Mishra,1,10,0,0,10.00,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",4,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2598,Danza Hyatt,b A Mishra,1,5,0,0,20.00,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",5,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2599,Kieron Pollard,c P Patel b H Singh,6,16,0,0,37.50,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",6,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2600,Carlton Baugh,c S Dhawan b M Patel,36,73,0,0,49.32,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",7,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2601,Daren Sammy,c P Patel b M Patel,3,14,0,0,21.43,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",8,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2602,Andre Russell,not out,92,64,8,5,143.75,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",9,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2603,Kemar Roach,not out,7,10,0,0,70.00,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",10,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2604,Parthiv Patel,c A Russell b D Bishoo,46,56,4,1,82.14,2,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",1,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2605,Shikhar Dhawan,c M Samuels b D Sammy,4,15,0,0,26.67,2,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",2,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2606,Virat Kohli,lbw b D Sammy,0,1,0,0,0.00,2,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",3,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2607,S Badrinath,run out (A Russell/C Baugh),11,28,1,0,39.29,2,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",4,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2608,Rohit Sharma,not out,86,91,5,2,94.51,2,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",5,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2609,Suresh Raina,c L Simmons b K Pollard,3,10,0,0,30.00,2,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",6,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2610,Yusuf Pathan,c L Simmons b D Bishoo,1,3,0,0,33.33,2,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",7,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2611,Harbhajan Singh,c C Baugh b A Russell,41,64,1,1,64.06,2,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",8,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2612,Praveen Kumar,not out,25,15,1,2,166.67,2,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 11, 09:00 AM LOCAL",9,ODI,2011,"West Indies vs India, 3rd ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2613,Lendl Simmons,run out (M Tiwary),67,78,3,3,85.90,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 13, 09:00 AM LOCAL",1,ODI,2011,"West Indies vs India, 4th ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2614,Danza Hyatt,c M Tiwary b I Sharma,1,4,0,0,25.00,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 13, 09:00 AM LOCAL",2,ODI,2011,"West Indies vs India, 4th ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2615,Ramnaresh Sarwan,c M Tiwary b P Kumar,1,12,0,0,8.33,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 13, 09:00 AM LOCAL",3,ODI,2011,"West Indies vs India, 4th ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2616,Darren Bravo,c M Tiwary b A Mishra,15,36,2,0,41.67,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 13, 09:00 AM LOCAL",4,ODI,2011,"West Indies vs India, 4th ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2617,Marlon Samuels,lbw b A Mishra,8,21,0,0,38.10,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 13, 09:00 AM LOCAL",5,ODI,2011,"West Indies vs India, 4th ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2618,Kieron Pollard,c I Sharma b R Ashwin,70,72,6,2,97.22,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 13, 09:00 AM LOCAL",6,ODI,2011,"West Indies vs India, 4th ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2619,Carlton Baugh,c V Kohli b P Kumar,39,57,3,0,68.42,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 13, 09:00 AM LOCAL",7,ODI,2011,"West Indies vs India, 4th ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2620,Andre Russell,c V Kohli b P Kumar,25,14,3,1,178.57,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 13, 09:00 AM LOCAL",8,ODI,2011,"West Indies vs India, 4th ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
2621,Daren Sammy,not out,1,3,0,0,33.33,1,"Sir Vivian Richards Stadium, North Sound, Antigua","Jun 13, 09:00 AM LOCAL",9,ODI,2011,"West Indies vs India, 4th ODI - Live Cricket Score, Commentary","India in West Indies, 2011"
